transformer,transformer_id,sector,transformer_code,description,description_long,units_description,citations,variables_affected
WASO: Biogas for energy production,34,CE,TFR:WASO:INC_ENERGY_FROM_BIOGAS,Increase the fraction of biogas that is collected that is used for energy,,Target minmum fraction of captured biogas that is used for energy production.,,
WASO: Incineration for energy production,35,CE,TFR:WASO:INC_ENERGY_FROM_INCINERATION,Missing,,Target minmum fraction of waste that is incinerated for energy.,,
WASO: Increase landfilling,36,CE,TFR:WASO:INC_LANDFILLING,"Increase fraction of waste that is otherwise untreated (i.e., post recycling, composting, etc.) that is sent to landfills",,Target fraction of waste **that is not otherwise recycled (including composting for organics)** that is sent to landfills.,,
WASO: Increase recycling,37,CE,TFR:WASO:INC_RECYCLING,Missing,,Target fraction of waste that is recycled (organic and yard waste are composted).,,
CCSQ: Increase direct air capture,38,EN,TFR:CCSQ:INC_CAPTURE,Increase Direct Air Capture deployment to 50 MT CO2e by final time period.,,Exogenous specification of installed capacity of direct air capture facilities in variable units.,,
ENFU: Adjust Exports,39,EN,TFR:ENFU:ADJ_EXPORTS,Increase OR Decrease exports of fuels,,Fractional increase (+) or decrease (-) in exports relative to final time period. ,,
ENFU: Adjust Prices,40,EN,TFR:ENFU:ADJ_PRICES,Increase OR Decrease fuel prices,,Fractional increase (+) or decrease (-) in prices relative to final time period. ,,
ENTC: Reduce transmission losses,41,EN,TFR:ENTC:DEC_LOSSES,Decrease transmission losses by upgrading electrical transmission infrastructure.,,Target maximum fraction of electricity transmitted that is lost through inefficient or insufficient electricity infrastructure.,,
ENTC: Least cost solution,42,EN,TFR:ENTC:LEAST_COST_SOLUTION,Missing,,Implement the least cost NEMO solution without renewable targets.,,
ENTC: Clean hydrogen,43,EN,TFR:ENTC:TARGET_CLEAN_HYDROGEN,Set a target for clean hydrogen production. ,,Fraction of hydrogen coming from electrolysis.,,
ENTC: 95% of electricity is generated by renewables in final time period,44,EN,TFR:ENTC:TARGET_RENEWABLE_ELEC,Set a target for renewable electricity. Includes minimum targets for specific renewable energy technologies. ,,"Implement a target production share from renewables (renewable technologies are specified in input file). Additinoally, can implement minimum shares from specific technology.",,
FGTV: Minimize leaks,45,EN,TFR:FGTV:DEC_LEAKS,Missing,,"Fractional reduction in CO2, CH4, and N2O leaks from fugitive emissions.",,
FGTV: Maximize flaring,46,EN,TFR:FGTV:INC_FLARE,Missing,,Fraction of otherwise vented gas that is flared instead.,,
INEN: Maximize industrial energy efficiency,47,EN,TFR:INEN:INC_EFFICIENCY_ENERGY,Missing,,Fractional improvement in average industrial technology efficiency.,,
INEN: Maximize industrial production efficiency,48,EN,TFR:INEN:INC_EFFICIENCY_PRODUCTION,Missing,,"Fractional improvement in production (e.g., kj/tonne) efficiency. ",,
INEN: Fuel switch high- and low-temp thermal processes,49,EN,TFR:INEN:SHIFT_FUEL_HEAT,Transformations for both (and/or) low and high-heat should be implemented using this transformer. ,,This transformation can be specified to shift 90% of both low (to electricity) and high (depending on industry) heat (to electricity and hydrogen).,,
SCOE: Reduce end-use demand for heat energy by improving building shell,50,EN,TFR:SCOE:DEC_DEMAND_HEAT,Missing,,Fractional change in heat demand in buildings.,,
SCOE: Increase appliance efficiency,51,EN,TFR:SCOE:INC_EFFICIENCY_APPLIANCE,Missing,,Fractional increase in the efficiency of electrical appliances in buildings (residential and commercial/municipal).,,
SCOE: Increase heat efficiency,52,EN,TFR:SCOE:INC_EFFICIENCY_HEAT,Missing,,Fractional increase in the efficiency of heat delivery technologies in buildings (residential and commercial/municipal). Non-electric efficiencies are capped at 1.,,
"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc.",53,EN,TFR:SCOE:SHIFT_FUEL_HEAT,Missing,,Fraction of heat energy switched to electricity.,,
TRDE: Reduce demand for transport,54,EN,TFR:TRDE:DEC_DEMAND,Missing,,"Fractional reduction in aggregate transportation demand by TRDE demand type (e.g., public_private, regional, or freight)",,
TRNS: Increase electric transportation energy efficiency,55,EN,TFR:TRNS:INC_EFFICIENCY_ELECTRIC,Missing,,Fractional increase in electric vehicle efficiency against the final time period.,,
TRNS: Increase non-electric transportation energy efficiency,56,EN,TFR:TRNS:INC_EFFICIENCY_NON_ELECTRIC,Missing,,Fractional increase in non-electric vehicle efficiency against the final time period,,
TRNS: Increase occupancy for private vehicles,57,EN,TFR:TRNS:INC_OCCUPANCY_LIGHT_DUTY,Missing,,Fractional increase in the average occupancy rate of private vehicles.,,
TRNS: Electrify light duty road transport,58,EN,TFR:TRNS:SHIFT_FUEL_LIGHT_DUTY,Missing,,Minimum target fraction of light duty vehicles fueled by electricity. Can be used to explore other fuel shifts through a dictionary.,,
TRNS: Fuel switch maritime,59,EN,TFR:TRNS:SHIFT_FUEL_MARITIME,Missing,,"Minimum target fraction of maritime transportation fueled by hydrogen. Can be used to explore other fuels, such as ammonia, through a dictionary.",,
TRNS: Fuel switch medium duty road transport,60,EN,TFR:TRNS:SHIFT_FUEL_MEDIUM_DUTY,Missing,,Minimum target fraction of medium duty transportation fueled by electricity. Can be used to explore other fuel shifts through a dictionary.,,
TRNS: Electrify rail,61,EN,TFR:TRNS:SHIFT_FUEL_RAIL,Missing,,Minimum target fraction of rail fueled by electricity. Can be used to explore other fuel shifts through a dictionary.,,
TRNS: Mode shift freight,62,EN,TFR:TRNS:SHIFT_MODE_FREIGHT,Missing,,Fraction of freight demand shifted from aviation and road transport to rail. Additional mode shifts can be explored through a dictionary.,,
TRNS: Mode shift passenger vehicles to others,63,EN,TFR:TRNS:SHIFT_MODE_PASSENGER,Missing,,Fraction of passenger demand shifted from light-duty road PKMT to other forms (default is human powered and light-weight mobility). Additional mode shifts can be explored through a dictionary.,,
TRNS: Mode shift regional passenger travel,64,EN,TFR:TRNS:SHIFT_MODE_REGIONAL,Missing,,Fraction of regional passenger demand shifted from light-duty road and aviation PKMT to heavy-duty road.,,
IPPU: Reduce cement clinker,65,IP,TFR:IPPU:DEC_CLINKER,Reduces use of clinker in cement production,,Fractional reduction in clinker use in cement production.,,
IPPU: Demand management,66,IP,TFR:IPPU:DEC_DEMAND,Missing,,Fractional reduction in production demand. NOTE: This transformer is not commonly used.,,
IPPU: Reduce use of HFCs,67,IP,TFR:IPPU:DEC_HFCS,Missing,,Fractional reduction in HFC emission factors per production quantity.,,
IPPU: Reduce Nitrous Oxide emissions,68,IP,TFR:IPPU:DEC_N2O,Missing,,Fractional reduction in N2O emission factors per production quantity.,,
IPPU: Reduce other fluorinated compounds,69,IP,TFR:IPPU:DEC_OTHER_FCS,"Includes SF6, NF3, HCFCs, and others",,Fractional reduction in other FCs emission factors per production quantity.,,
IPPU: Reduce use of PFCs,70,IP,TFR:IPPU:DEC_PFCS,Missing,,Fractional reduction in PFC emission factors per production quantity.,,
PFLO: Change diets,71,IP,TFR:PFLO:INC_HEALTHIER_DIETS,Includes a reduction in the demand for red meat and allows for changes to different crop demands.,,Fractional target maximum fraction of per-capita demand for red meat (cattle).,,
PFLO: Industrial carbon capture and sequestration,72,CROSS,TFR:PFLO:INC_IND_CCS,"Implements carbon capture at industrial facilities, affecting both INEN and IPPU emissions. Specify a minimum target fraction of industrial facilities using carbon capture (prevalence) and target effectiveness of carbon capture at those faciltiies.",,Minimum target fraction of industrial facilities using carbon capture (prevalence) and target effectiveness of carbon capture at those faciltiies.,,
